,FCD,PCD,Fi,Pi,d,VDPp,VDPn,VDEp,VDEn,time
602,160.74597187093727,1744.7578685586623,447.04000000002964,4852.230811648322,23980.477312,6596.988680206984,0.0,316195.5949525353,-122392.69017405229,60.2
603,160.89027457665418,1749.2011245928989,447.04000000002964,4860.224602112322,23980.477312,6609.425726705221,0.0,316855.9156728809,-122392.69017405229,60.3
604,161.03478779660475,1753.6518338314345,447.0399999999763,4868.218392575743,23980.477312,6621.870226407177,0.0,317517.4804705365,-122392.69017405229,60.4
605,161.1795115307889,1758.110007567262,447.0399999999586,4876.212183039547,23980.477312,6634.322190606809,0.0,318180.2900913872,-122392.69017405229,60.5
606,161.32444577920663,1762.5756570933765,447.0400000000119,4884.20597350413,23980.477312,6646.781630597507,0.0,318844.34528244747,-122392.69017405229,60.6
607,161.469590541858,1767.0487937027724,447.0400000000119,4892.19976396813,23980.477312,6659.248557670902,0.0,319509.64679186087,-122392.69017405229,60.7
608,161.61494581874294,1771.5294286884416,447.0399999999941,4900.193554431935,23980.477312,6671.722983120377,0.0,320176.1953689004,-122392.69017405229,60.8
609,161.76051160986154,1776.0175733433807,447.04000000002964,4908.187344896325,23980.477312,6684.204918239706,0.0,320843.99176396837,-122392.69017405229,60.9
610,161.9062879152137,1780.5132389605817,391.15999999998155,4301.658493439797,23980.477312,6082.1717324003785,0.0,321482.3105965004,-122392.69017405229,61.0
611,162.01575829419366,1783.889930598409,335.27999999996894,3691.6323586556578,23980.477312,5475.522289254067,0.0,322060.1952975831,-122392.69017405229,61.1
612,162.12534708743,1787.2708638940494,335.28000000002226,3696.128865792245,23980.477312,5483.399729686294,0.0,322608.14139853016,-122392.69017405229,61.2
613,162.23505429492275,1790.6560436117356,335.28000000000446,3700.625372928049,23980.477312,5491.281416539785,0.0,323156.8754558414,-122392.69017405229,61.3
614,162.3448799166719,1794.0454745156997,335.28000000000446,3705.1218800640495,23980.477312,5499.167354579749,0.0,323706.3978943974,-122392.69017405229,61.4
615,162.45482395267746,1797.4391613701719,335.27999999998667,3709.6183871998524,23980.477312,5507.057548570025,0.0,324256.7091395549,-122392.69017405229,61.5
616,162.56488640293944,1800.8371089393859,335.27999999996894,3714.1148943356557,23980.477312,5514.9520032750415,0.0,324807.80961714714,-122392.69017405229,61.6
617,162.6750672674578,1804.2393219875717,335.28000000000446,3718.6114014720492,23980.477312,5522.850723459621,0.0,325359.6997534839,-122392.69017405229,61.7
618,162.78536654623258,1807.6458052789628,335.28000000000446,3723.1079086080495,23980.477312,5530.753713887012,0.0,325912.37997535116,-122392.69017405229,61.8
619,162.89578423926378,1811.0565635777903,335.28000000000446,3727.604415744049,23980.477312,5538.6609793218395,0.0,326465.8507100116,-122392.69017405229,61.9
620,163.00632034655135,1814.4716016482857,223.51999999999705,2488.067281919967,23980.477312,4302.538883568253,0.0,326957.91070315614,-122392.69017405229,62.0
621,163.04319202992642,1815.6108995556024,111.75999999997188,1244.5332528636868,23980.477312,3060.144152419289,0.0,327326.0448549555,-122392.69017405229,62.1
622,163.08007687044108,1816.7506736989164,111.75999999998965,1245.0328647678846,23980.477312,3061.783538466801,0.0,327632.14123949985,-122392.69017405229,62.2
623,163.11697486809533,1817.8909242546808,111.76000000002517,1245.5324766722806,23980.477312,3063.423400926961,0.0,327938.4015864695,-122392.69017405229,62.3
624,163.1538860228892,1819.0316513993494,111.76000000000741,1246.0320885760827,23980.477312,3065.0637399754323,0.0,328244.82594351465,-122392.69017405229,62.4
625,163.19081033482266,1820.1728553093742,111.75999999998965,1246.5317004798844,23980.477312,3066.704555789259,0.0,328551.4143583029,-122392.69017405229,62.5
626,163.22774780389574,1821.3145361612085,111.75999999998965,1247.0313123838844,23980.477312,3068.345848545093,0.0,328858.16687851964,-122392.69017405229,62.6
627,163.2646984301084,1822.4566941313058,111.76000000000741,1247.5309242880826,23980.477312,3069.987618419388,0.0,329165.08355186787,-122392.69017405229,62.7
628,163.30166221346067,1823.5993293961183,111.76000000000741,1248.0305361920825,23980.477312,3071.629865588201,0.0,329472.16442606825,-122392.69017405229,62.8
629,163.33863915395253,1824.7424421320993,111.76000000000741,1248.5301480960827,23980.477312,3073.272590228182,0.0,329779.40954885905,-122392.69017405229,62.9
630,163.375629251584,1825.886032515703,-167.64000000000223,-1873.544640000025,23980.477312,0.0,-47.65860748432215,329933.0731783705,-122395.0731044265,63.0
631,163.22774780389574,1821.3145361612085,-447.0400000000119,-4988.125249536133,23980.477312,0.0,-3166.8107133749245,329933.0731783705,-122555.79657046947,63.1
632,163.08007687044108,1816.7506736989164,-447.0399999999763,-4980.131459071736,23980.477312,0.0,-3163.3807853728194,329933.0731783705,-122872.30614540685,63.2
633,162.93261645122004,1812.1944338358328,-447.0399999999763,-4972.137668607737,23980.477312,0.0,-3159.943234771905,329933.0731783705,-123188.47234641407,63.3
634,162.78536654623258,1807.6458052789628,-447.0400000000119,-4964.143878144132,23980.477312,0.0,-3156.498072865169,329933.0731783705,-123504.29441179593,63.4
635,162.63832715547875,1803.1047767353134,-447.0399999999941,-4956.150087679935,23980.477312,0.0,-3153.045310944621,329933.0731783705,-123819.77158098642,63.5
636,162.49149827895855,1798.5713369118907,-447.0399999999941,-4948.156297215935,23980.477312,0.0,-3149.5849603040447,329933.0731783705,-124134.90309454885,63.6
637,162.3448799166719,1794.0454745156997,-447.04000000002964,-4940.162506752328,23980.477312,0.0,-3146.117032236629,329933.0731783705,-124449.68819417589,63.7
638,162.1984720686189,1789.5271782537473,-447.0399999999941,-4932.168716287934,23980.477312,0.0,-3142.641538034187,329933.0731783705,-124764.12612268941,63.8
639,162.0522747347995,1785.0164368330393,-447.0399999999586,-4924.174925823544,23980.477312,0.0,-3139.158488990505,329933.0731783705,-125078.21612404066,63.9
640,161.9062879152137,1780.5132389605817,-279.4000000000274,-3072.613209600301,23980.477312,0.0,-1292.0999706397195,329933.0731783705,-125299.77904702217,64.0
641,161.86982410316625,1779.3886168484835,-111.76000000000741,-1228.5456719360814,23980.477312,550.8429449124021,0.0,329960.6153256161,-125364.38404555415,64.1
642,161.8333734482584,1778.2644653258858,-111.76000000002517,-1228.0460600322765,23980.477312,550.2184052936093,0.0,330015.6683931264,-125364.38404555415,64.2
643,161.79693595049017,1777.1407842163358,-111.75999999998965,-1227.5464481278862,23980.477312,549.5943360884496,0.0,330070.6590301955,-125364.38404555415,64.3
644,161.76051160986154,1776.0175733433807,-111.75999999998965,-1227.0468362238862,23980.477312,548.9707371194945,0.0,330125.5872838559,-125364.38404555415,64.4
645,161.7241004263725,1774.8948325305664,-111.76000000000741,-1226.5472243200813,23980.477312,548.3476082104851,0.0,330180.4532011224,-125364.38404555415,64.5
646,161.68770240002306,1773.7725616014409,-111.75999999998965,-1226.0476124158865,23980.477312,547.7249491855544,0.0,330235.2568289922,-125364.38404555415,64.6
647,161.6513175308132,1772.6507603795503,-111.76000000000741,-1225.5480005120812,23980.477312,547.1027598674691,0.0,330289.9982144449,-125364.38404555415,64.7
648,161.61494581874294,1771.5294286884416,-111.76000000002517,-1225.0483886082757,23980.477312,546.4810400801659,0.0,330344.6774044423,-125364.38404555415,64.8
649,161.57858726381232,1770.408566351663,-111.75999999998965,-1224.5487767038865,23980.477312,545.8597896477766,0.0,330399.29444592865,-125364.38404555415,64.9
650,161.54224186602127,1769.2881731927605,55.87999999999482,612.0245823999434,23980.477312,2381.312755592704,0.0,330545.65307319065,-125364.38404555415,65.0
651,161.61494581874294,1771.5294286884416,223.52000000001482,2450.096777216162,23980.477312,4221.626205904604,0.0,330875.8000212655,-125364.38404555415,65.1
652,161.68770240002306,1773.7725616014409,223.52000000001482,2452.0952248321623,23980.477312,4225.867786433603,0.0,331298.17472088244,-125364.38404555415,65.2
653,161.76051160986154,1776.0175733433807,223.5199999999793,2454.0936724477724,23980.477312,4230.111245791153,0.0,331720.97367249365,-125364.38404555415,65.3
654,161.8333734482584,1778.2644653258858,223.51999999999705,2456.0921200639673,23980.477312,4234.356585389853,0.0,332144.19706405274,-125364.38404555415,65.4
655,161.9062879152137,1780.5132389605817,223.52000000001482,2458.0905676801626,23980.477312,4238.603806640745,0.0,332567.8450836543,-125364.38404555415,65.5
656,161.9792550107274,1782.763895659091,223.52000000001482,2460.089015296163,23980.477312,4242.852910955254,0.0,332991.917919534,-125364.38404555415,65.6
657,162.0522747347995,1785.0164368330393,223.5199999999793,2462.087462911772,23980.477312,4247.103899744811,0.0,333416.41576006904,-125364.38404555415,65.7
658,162.12534708743,1787.2708638940494,223.51999999996153,2464.085910527576,23980.477312,4251.356774421625,0.0,333841.33879377734,-125364.38404555415,65.8
659,162.1984720686189,1789.5271782537473,223.51999999999705,2466.084358143967,23980.477312,4255.611536397714,0.0,334266.68720931833,-125364.38404555415,65.9
660,162.27164967836623,1791.785381323756,167.64000000003776,1851.0621043204171,23980.477312,3642.847485644173,0.0,334661.6101604204,-125364.38404555415,66.0
661,162.30825821894928,1792.9151915662596,111.75999999998965,1234.5410147838857,23980.477312,3027.4562063501453,0.0,334995.1253450201,-125364.38404555415,66.1
662,162.3448799166719,1794.0454745156997,111.75999999998965,1235.0406266878856,23980.477312,3029.0861012035853,0.0,335297.9524603978,-125364.38404555415,66.2
663,162.38151477153417,1795.1762303485298,111.75999999998965,1235.5402385918853,23980.477312,3030.7164689404153,0.0,335600.942588905,-125364.38404555415,66.3
664,162.41816278353602,1796.3074592412029,111.75999999998965,1236.0398504958855,23980.477312,3032.3473097370884,0.0,335904.0957778389,-125364.38404555415,66.4
665,162.45482395267746,1797.4391613701719,111.76000000002517,1236.5394624002784,23980.477312,3033.97862377045,0.0,336207.41207451426,-125364.38404555415,66.5
666,162.49149827895855,1798.5713369118907,111.76000000002517,1237.0390743042785,23980.477312,3035.6104112161693,0.0,336510.89152626356,-125364.38404555415,66.6
667,162.5281857623792,1799.7039860428106,111.75999999998965,1237.5386862078853,23980.477312,3037.242672250696,0.0,336814.5341804369,-125364.38404555415,66.7
668,162.56488640293944,1800.8371089393859,111.75999999998965,1238.0382981118853,23980.477312,3038.8754070512714,0.0,337118.340084402,-125364.38404555415,66.8
669,162.6016002006393,1801.970705778069,111.75999999998965,1238.5379100158852,23980.477312,3040.508615793954,0.0,337422.30928554427,-125364.38404555415,66.9
670,162.63832715547875,1803.1047767353134,0.0,0.0,23980.477312,1803.1047767353134,0.0,337664.4899551707,-125364.38404555415,67.0
671,162.6016002006393,1801.970705778069,-111.75999999998965,-1238.5379100158852,23980.477312,563.4327957621838,0.0,337782.8168337956,-125364.38404555415,67.1
672,162.56488640293944,1800.8371089393859,-111.75999999998965,-1238.0382981118853,23980.477312,562.7988108275006,0.0,337839.12841412507,-125364.38404555415,67.2
673,162.5281857623792,1799.7039860428106,-111.75999999998965,-1237.5386862078853,23980.477312,562.1652998349252,0.0,337895.3766196582,-125364.38404555415,67.3
674,162.49149827895855,1798.5713369118907,-111.76000000002517,-1237.0390743042785,23980.477312,561.5322626076122,0.0,337951.5614977803,-125364.38404555415,67.4
675,162.45482395267746,1797.4391613701719,-111.76000000002517,-1236.5394624002784,23980.477312,560.8996989698935,0.0,338007.6830958592,-125364.38404555415,67.5
676,162.41816278353602,1796.3074592412029,-111.75999999998965,-1236.0398504958855,23980.477312,560.2676087453174,0.0,338063.74146124494,-125364.38404555415,67.6
677,162.38151477153417,1795.1762303485298,-111.75999999998965,-1235.5402385918853,23980.477312,559.6359917566444,0.0,338119.73664127005,-125364.38404555415,67.7
678,162.3448799166719,1794.0454745156997,-111.75999999998965,-1235.0406266878856,23980.477312,559.004847827814,0.0,338175.66868324927,-125364.38404555415,67.8
679,162.30825821894928,1792.9151915662596,-111.75999999998965,-1234.5410147838857,23980.477312,558.374176782374,0.0,338231.5376344798,-125364.38404555415,67.9
680,162.27164967836623,1791.785381323756,-111.76000000002517,-1234.041402880278,23980.477312,557.743978443478,0.0,338287.3435422411,-125364.38404555415,68.0
681,162.23505429492275,1790.6560436117356,-111.76000000002517,-1233.5417909762778,23980.477312,557.1142526354579,0.0,338343.086453795,-125364.38404555415,68.1
682,162.1984720686189,1789.5271782537473,-111.75999999998965,-1233.0421790718858,23980.477312,556.4849991818614,0.0,338398.7664163859,-125364.38404555415,68.2
683,162.16190299945464,1788.398785073336,-111.75999999997188,-1232.54256716769,23980.477312,555.856217905646,0.0,338454.3834772403,-125364.38404555415,68.3
684,162.12534708743,1787.2708638940494,-111.75999999998965,-1232.0429552638857,23980.477312,555.2279086301637,0.0,338509.93768356706,-125364.38404555415,68.4
685,162.08880433254495,1786.1434145394353,-111.75999999997188,-1231.5433433596902,23980.477312,554.6000711797451,0.0,338565.42908255756,-125364.38404555415,68.5
686,162.0522747347995,1785.0164368330393,-111.76000000002517,-1231.0437314562773,23980.477312,553.972705376762,0.0,338620.8577213854,-125364.38404555415,68.6
687,162.01575829419366,1783.889930598409,-111.76000000002517,-1230.544119552277,23980.477312,553.345811046132,0.0,338676.2236472065,-125364.38404555415,68.7
688,161.9792550107274,1782.763895659091,-111.75999999998965,-1230.044507647886,23980.477312,552.7193880112052,0.0,338731.52690715936,-125364.38404555415,68.8
689,161.94276488440076,1781.6383318386331,-111.75999999998965,-1229.5448957438862,23980.477312,552.093436094747,0.0,338786.76754836465,-125364.38404555415,68.9
690,161.9062879152137,1780.5132389605817,-55.87999999999482,-614.5226419199431,23980.477312,1165.9905970406385,0.0,338872.6717500214,-125364.38404555415,69.0
691,161.9062879152137,1780.5132389605817,0.0,0.0,23980.477312,1780.5132389605817,0.0,339019.9969418215,-125364.38404555415,69.1
692,161.9062879152137,1780.5132389605817,0.0,0.0,23980.477312,1780.5132389605817,0.0,339198.0482657176,-125364.38404555415,69.2
693,161.9062879152137,1780.5132389605817,0.0,0.0,23980.477312,1780.5132389605817,0.0,339376.0995896136,-125364.38404555415,69.3
694,161.9062879152137,1780.5132389605817,0.0,0.0,23980.477312,1780.5132389605817,0.0,339554.1509135097,-125364.38404555415,69.4
695,161.9062879152137,1780.5132389605817,0.0,0.0,23980.477312,1780.5132389605817,0.0,339732.20223740576,-125364.38404555415,69.5
696,161.9062879152137,1780.5132389605817,0.0,0.0,23980.477312,1780.5132389605817,0.0,339910.2535613018,-125364.38404555415,69.6
697,161.9062879152137,1780.5132389605817,0.0,0.0,23980.477312,1780.5132389605817,0.0,340088.3048851979,-125364.38404555415,69.7
698,161.9062879152137,1780.5132389605817,0.0,0.0,23980.477312,1780.5132389605817,0.0,340266.35620909394,-125364.38404555415,69.8
699,161.9062879152137,1780.5132389605817,0.0,0.0,23980.477312,1780.5132389605817,0.0,340444.40753299004,-125364.38404555415,69.9
700,161.9062879152137,1780.5132389605817,279.4000000000274,3072.613209600301,23980.477312,4853.126448560883,0.0,340776.0895173661,-125364.38404555415,70.0
701,162.08880433254495,1786.1434145394353,558.7999999999838,6157.716716799822,23980.477312,7943.860131339257,0.0,341415.93884636107,-125364.38404555415,70.1
702,162.27164967836623,1791.785381323756,558.7999999999838,6170.207014399822,23980.477312,7961.992395723578,0.0,342211.2314727143,-125364.38404555415,70.2
703,162.45482395267746,1797.4391613701719,558.7999999999838,6182.69731199982,23980.477312,7980.136473369992,0.0,343008.3379161689,-125364.38404555415,70.3
704,162.63832715547875,1803.1047767353134,558.8000000000015,6195.187609600017,23980.477312,7998.29238633533,0.0,343807.25935915427,-125364.38404555415,70.4
705,162.82215928677005,1808.7822494758082,558.8000000000548,6207.6779072006075,23980.477312,8016.460156676416,0.0,344607.9969863048,-125364.38404555415,70.5
706,163.00632034655135,1814.4716016482857,558.8000000000015,6220.168204800017,23980.477312,8034.639806448302,0.0,345410.551984461,-125364.38404555415,70.6
707,163.19081033482266,1820.1728553093742,558.7999999999838,6232.65850239982,23980.477312,8052.831357709194,0.0,346214.92554266896,-125364.38404555415,70.7
708,163.375629251584,1825.886032515703,558.799999999966,6245.14879999962,23980.477312,8071.034832515323,0.0,347021.11885218014,-125364.38404555415,70.8
709,163.56077709683532,1831.6111553238998,558.7999999999838,6257.639097599817,23980.477312,8089.250252923717,0.0,347829.1331064522,-125364.38404555415,70.9
710,163.74625387057668,1837.348245790595,558.800000000037,6270.129395200414,23980.477312,8107.477640991009,0.0,348638.96950114786,-125364.38404555415,71.0
711,163.93205957280807,1843.0973259724171,558.8000000000015,6282.619692800017,23980.477312,8125.717018772434,0.0,349450.62923413597,-125364.38404555415,71.1
712,164.11819420352947,1848.8584179259944,558.8000000000015,6295.1099904000175,23980.477312,8143.968408326012,0.0,350264.11350549094,-125364.38404555415,71.2
713,164.30465776274085,1854.6315437079556,558.8000000000015,6307.600288000017,23980.477312,8162.231831707973,0.0,351079.4235174926,-125364.38404555415,71.3
714,164.49145025044226,1860.4167253749301,558.7999999999838,6320.090585599817,23980.477312,8180.507310974747,0.0,351896.5604746268,-125364.38404555415,71.4
